	Phase	Room	Time	Mouse One	Mouse Two
166	PHASE 2 dark	1	16545.30599951744	0065-0136651817	0065-0136667521
167	PHASE 2 light	1	13.848000049591064	0065-0136651817	0065-0136667521
168	PHASE 3 dark	1	10695.79899930954	0065-0136651817	0065-0136667521
169	PHASE 3 light	1	8775.43799996376	0065-0136651817	0065-0136667521
170	PHASE 1 dark	2	1081.2269995212555	0065-0136651817	0065-0136667521
171	PHASE 1 light	2	132.31499934196472	0065-0136651817	0065-0136667521
172	PHASE 2 dark	2	1855.255999803543	0065-0136651817	0065-0136667521
173	PHASE 2 light	2	32904.05400085449	0065-0136651817	0065-0136667521
174	PHASE 3 dark	2	4077.3619997501373	0065-0136651817	0065-0136667521
175	PHASE 3 light	2	20462.551000118256	0065-0136651817	0065-0136667521
176	PHASE 1 dark	3	7210.125999689102	0065-0136651817	0065-0136667521
177	PHASE 1 light	3	34.271000146865845	0065-0136651817	0065-0136667521
178	PHASE 2 dark	3	350.9399995803833	0065-0136651817	0065-0136667521
179	PHASE 2 light	3	52.51700019836426	0065-0136651817	0065-0136667521
180	PHASE 3 dark	3	467.2989995479584	0065-0136651817	0065-0136667521
181	PHASE 3 light	3	21.10599994659424	0065-0136651817	0065-0136667521
182	PHASE 1 dark	4	1194.9800012111664	0065-0136651817	0065-0136667521
183	PHASE 1 light	4	694.0010001659393	0065-0136651817	0065-0136667521
184	PHASE 2 dark	4	1710.622000694275	0065-0136651817	0065-0136667521
185	PHASE 2 light	4	369.39400005340576	0065-0136651817	0065-0136667521
186	PHASE 3 dark	4	2097.9199998378754	0065-0136651817	0065-0136667521
187	PHASE 3 light	4	294.53500032424927	0065-0136651817	0065-0136667521
188	PHASE 1 dark	1	3725.8989996910095	0065-0136651817	0065-0136670531
189	PHASE 1 light	1	27852.603000164032	0065-0136651817	0065-0136670531
190	PHASE 2 dark	1	17964.413999080658	0065-0136651817	0065-0136670531
191	PHASE 2 light	1	15.07699990272522	0065-0136651817	0065-0136670531
192	PHASE 3 dark	1	9237.80799984932	0065-0136651817	0065-0136670531
